trajectory_id,sample_stratum,analyst_1,analyst_2,analyst_3,full_agreement,majority_label
781ba7_0c369e30,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
8940d0_80a384a4,not_flagged,Clean,Clean,Clean,True,Clean
ab2de9_4dfde199,not_flagged,Clean,Clean,Clean,True,Clean
c043cb_bd90b644,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
781418_e64f04f6,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a98cbc_24d77099,not_flagged,Clean,Clean,Clean,True,Clean
aa57b4_8e33a7ad,not_flagged,Clean,Clean,Clean,True,Clean
ad1c85_8905f104,not_flagged,Clean,Clean,Clean,True,Clean
a4ca66_62fadcb0,not_flagged,Clean,Clean,Clean,True,Clean
01023c_a93abce4,not_flagged,Spoofed,Clean,Clean,False,Clean
471db6_bc757ef3,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4b8e03_a44fcf1c,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
880858_c0a085d4,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
750255_9c721821,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
8511ca_09480553,not_flagged,Clean,Clean,Clean,True,Clean
3455d9_959fa0a2,not_flagged,Clean,Clean,Clean,True,Clean
4bce16_bc1f58ec,not_flagged,Clean,Spoofed,Clean,False,Clean
801661_7cef2f00,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
00c45f_1fdc09f8,not_flagged,Clean,Clean,Clean,True,Clean
a791c0_c85048f3,not_flagged,Clean,Clean,Clean,True,Clean
4b1865_91593c82,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a38432_96b660d4,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
45ab22_b01558a2,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
ab0485_41443070,not_flagged,Clean,Clean,Clean,True,Clean
8007df_d9262ff9,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4cad97_54d27524,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a14c15_7367d292,flagged,Clean,Spoofed,Spoofed,False,Spoofed
896315_d7d11b5b,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a4dcba_74d5b713,not_flagged,Clean,Clean,Clean,True,Clean
511172_0098a921,not_flagged,Clean,Clean,Clean,True,Clean
342104_51d7804d,flagged,Spoofed,Spoofed,Clean,False,Spoofed
758768_37fbb8c4,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
aa908e_9ca34fde,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
440670_4d784110,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
49d3d3_631bae2a,not_flagged,Clean,Clean,Clean,True,Clean
4cac8a_6d4d6553,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a21c4c_4a3e4323,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a65fb5_641faa39,not_flagged,Clean,Clean,Clean,True,Clean
86ef62_d23f1bea,not_flagged,Clean,Clean,Clean,True,Clean
408087_7aa7c207,not_flagged,Clean,Clean,Clean,True,Clean
06a2f7_f0014928,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
e49a2e_3ccec657,not_flagged,Clean,Clean,Clean,True,Clean
781685_d5759400,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a95dd3_5c509275,not_flagged,Clean,Clean,Clean,True,Clean
4ca9bc_02462057,not_flagged,Clean,Clean,Clean,True,Clean
a31a7b_ddb9207e,not_flagged,Clean,Clean,Clean,True,Clean
a1be72_32dc783b,not_flagged,Clean,Clean,Clean,True,Clean
a382b6_25ba5466,not_flagged,Clean,Spoofed,Clean,False,Clean
4baa50_b22ecc25,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
ad1c11_d0b94070,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
46bc4d_833fb451,not_flagged,Clean,Clean,Clean,True,Clean
4ba8f9_1c7f989f,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4cae52_b0de0813,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a82332_0d430410,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
acb143_e1e761f3,not_flagged,Clean,Clean,Clean,True,Clean
4d22d5_9ef03c85,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
aaeec5_5be84de1,not_flagged,Clean,Clean,Clean,True,Clean
706133_f29e4458,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
e490c2_6937d59f,not_flagged,Clean,Clean,Clean,True,Clean
3451d8_1c636a79,not_flagged,Clean,Clean,Clean,True,Clean
706133_e51740d4,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a4694a_65aeaabe,not_flagged,Clean,Clean,Clean,True,Clean
80177e_efb29cdf,not_flagged,Clean,Clean,Clean,True,Clean
750467_ef2c67fc,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
71c255_d77eeba1,not_flagged,Clean,Clean,Clean,True,Clean
a06f5a_48650673,not_flagged,Clean,Clean,Clean,True,Clean
a3795a_8c5e9782,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
896518_2c16dec1,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
896465_9eed840f,not_flagged,Clean,Clean,Clean,True,Clean
801793_8b4cd788,not_flagged,Clean,Clean,Clean,True,Clean
a2a072_4af61f44,not_flagged,Clean,Clean,Clean,True,Clean
a9e3f2_c63d4fe3,not_flagged,Clean,Clean,Clean,True,Clean
c00e24_4c7b4f0a,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
495245_ab907df7,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a449f1_4dd94838,not_flagged,Clean,Clean,Clean,True,Clean
ada64d_067ce6dc,not_flagged,Clean,Clean,Clean,True,Clean
4bcdee_47d18db8,not_flagged,Clean,Clean,Clean,True,Clean
780a35_7e327460,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a6b0bd_b6c6db46,not_flagged,Clean,Clean,Clean,True,Clean
71c224_36825515,not_flagged,Clean,Clean,Clean,True,Clean
008fec_fa1451af,not_flagged,Clean,Clean,Clean,True,Clean
899109_3d41548a,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4caf82_4ffe0e97,flagged,Spoofed,Clean,Spoofed,False,Spoofed
3c4dd7_0410474f,not_flagged,Clean,Clean,Clean,True,Clean
a47623_b2e791db,not_flagged,Clean,Clean,Clean,True,Clean
a1a110_0d56e8c1,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
896454_b32bf30a,not_flagged,Clean,Clean,Clean,True,Clean
896456_57f5e962,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4ba912_c7d28ac6,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
45202a_c8b7fddb,not_flagged,Clean,Clean,Clean,True,Clean
a2f6c4_432abc9a,not_flagged,Clean,Clean,Clean,True,Clean
4952cc_8a576c70,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4ab594_7e00f496,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
7811d1_b7bb6e3d,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
7c1465_626bacac,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
8964a5_f0907e0e,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
3f4f0f_5f9a7b95,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
440c5a_ccd0d1d2,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4caf13_dd7d65a8,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
49d5ef_0fe039f1,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
86803d_a0cd8510,not_flagged,Clean,Clean,Clean,True,Clean
4b9c61_7b939af2,not_flagged,Clean,Clean,Clean,True,Clean
4d23c4_929fe1f5,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4bb850_ac9eed21,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4067a3_1380e2e6,not_flagged,Clean,Clean,Clean,True,Clean
8963dc_5af36fe0,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a613e0_2dcf011c,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
73806c_13bd9ea1,not_flagged,Clean,Clean,Clean,True,Clean
888098_a4ca9813,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a02d38_9f37815b,not_flagged,Clean,Clean,Clean,True,Clean
4cc2a6_e6307453,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
896177_b68d3c0e,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a37df6_fd2c751e,not_flagged,Clean,Clean,Clean,True,Clean
4aca46_d56ff139,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a8cfcd_990b6982,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4baa93_580a2dcb,not_flagged,Clean,Clean,Clean,True,Clean
896622_145ff67e,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a013e8_a41808dd,not_flagged,Clean,Clean,Clean,True,Clean
398c4e_be58146d,not_flagged,Clean,Clean,Clean,True,Clean
8830ed_8dac1a30,not_flagged,Clean,Clean,Clean,True,Clean
885305_3211e5d6,not_flagged,Clean,Clean,Clean,True,Clean
a37eb0_22cc178a,not_flagged,Clean,Clean,Clean,True,Clean
a569fa_7763a6c4,not_flagged,Clean,Clean,Clean,True,Clean
84b4d9_7e7d0200,not_flagged,Clean,Clean,Clean,True,Clean
4070e8_6044307b,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
440005_08157b16,not_flagged,Clean,Clean,Clean,True,Clean
408064_007cb73e,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4ba915_03a94a38,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
8963b4_8e6f74af,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
780841_e5acf12b,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
39bdb4_21a2ae58,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a2d1bc_55520c4c,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
7808d5_17de2691,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
781888_1f9ce3f4,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
aaa75d_9bac4064,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
ac4ca8_f3f13ee8,not_flagged,Clean,Clean,Clean,True,Clean
3c5432_439be9ac,not_flagged,Clean,Clean,Clean,True,Clean
e80218_85cb54c2,not_flagged,Clean,Clean,Clean,True,Clean
4bb06a_795b10d1,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
71c553_f29faf8e,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
7816d1_d1eba230,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
ac8e1d_835969a3,not_flagged,Clean,Clean,Clean,True,Clean
151d72_f1848522,not_flagged,Clean,Clean,Clean,True,Clean
ac3030_dcd4d34c,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a8943d_f2e1bbc7,not_flagged,Clean,Clean,Clean,True,Clean
781798_ccf56b57,not_flagged,Clean,Clean,Clean,True,Clean
ab628c_4cc03af0,not_flagged,Clean,Clean,Clean,True,Clean
4aca6d_21992889,not_flagged,Clean,Clean,Clean,True,Clean
85e27c_5af3cacb,not_flagged,Clean,Clean,Clean,True,Clean
c060b2_f67d41e7,not_flagged,Spoofed,Clean,Clean,False,Clean
344498_e5f20c8b,not_flagged,Clean,Clean,Clean,True,Clean
4cad92_8f6f8d99,not_flagged,Clean,Clean,Clean,True,Clean
86d629_a248667d,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a6c1e4_533bd276,not_flagged,Clean,Clean,Clean,True,Clean
8962d1_9d910ccb,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4ca568_b19f96c1,not_flagged,Clean,Spoofed,Clean,False,Clean
780a9e_5c1384f6,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4d225f_97756607,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
ac2fea_e577e236,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a69cf0_c5227622,not_flagged,Clean,Clean,Clean,True,Clean
4d2314_3e418561,not_flagged,Clean,Clean,Clean,True,Clean
801441_ff72ea92,not_flagged,Clean,Clean,Clean,True,Clean
40717c_bad76cd3,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
010261_9db9c6fd,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
782127_e089637e,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a5988d_bbc840d1,not_flagged,Clean,Clean,Spoofed,False,Clean
4cad93_f19de36f,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4cae8e_fd417ab4,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a6f643_9a078e0c,not_flagged,Clean,Clean,Clean,True,Clean
acc23f_de4202f6,not_flagged,Clean,Clean,Spoofed,False,Clean
706212_fd1b7d00,flagged,Spoofed,Spoofed,Clean,False,Spoofed
a333ae_e2abcbbe,not_flagged,Clean,Clean,Clean,True,Clean
4863f6_83befc54,not_flagged,Clean,Clean,Clean,True,Clean
acbbd8_9f80590e,not_flagged,Clean,Clean,Clean,True,Clean
440181_61528bfc,flagged,Spoofed,Spoofed,Clean,False,Spoofed
39b228_5f94d59a,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
45c292_6f91e520,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4cad7a_537b709d,not_flagged,Clean,Clean,Clean,True,Clean
744822_f794ab05,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a9db63_42f3d675,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a72c37_7f54e209,not_flagged,Clean,Clean,Clean,True,Clean
a9a91a_9b4c6112,not_flagged,Clean,Clean,Clean,True,Clean
780e22_e64e4109,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4ca815_cfc7ecd6,not_flagged,Clean,Clean,Clean,True,Clean
50009e_5e35e0ee,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
43edea_69406ad7,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
7801c2_4dee344d,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
896173_ed6178c8,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
ab49d4_4fb71c14,not_flagged,Clean,Clean,Clean,True,Clean
4d2250_6ae749ba,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
39d314_473a5bc8,flagged,Spoofed,Clean,Spoofed,False,Spoofed
ae1e9d_cd5bd5e0,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
e49f12_2020ca19,not_flagged,Clean,Clean,Clean,True,Clean
407794_56f85af3,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4cafa0_b2254175,flagged,Clean,Spoofed,Spoofed,False,Spoofed
e0a445_c325f986,not_flagged,Clean,Clean,Clean,True,Clean
4cac8c_0224546d,not_flagged,Clean,Clean,Clean,True,Clean
3e0179_9f3345a3,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
89621b_42024adc,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4d23b8_a3a7dc53,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
896603_05026a86,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
780ada_232aacef,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
484129_40e98b90,not_flagged,Clean,Clean,Clean,True,Clean
3e8b02_80d72ba4,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
3444c9_904fae77,not_flagged,Clean,Clean,Clean,True,Clean
a6fb41_46ea0532,not_flagged,Clean,Clean,Clean,True,Clean
801643_ebb52940,not_flagged,Clean,Clean,Clean,True,Clean
4aca0d_2b230769,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
4caead_e2cb476d,not_flagged,Clean,Clean,Clean,True,Clean
40660c_7df29303,not_flagged,Clean,Clean,Clean,True,Clean
a25ec7_abb06d40,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a3ac7a_c5017df0,not_flagged,Clean,Clean,Clean,True,Clean
ad2384_789c1917,not_flagged,Clean,Clean,Clean,True,Clean
4d227f_6d2644de,not_flagged,Clean,Clean,Clean,True,Clean
a2d656_e0bbd9fe,not_flagged,Clean,Clean,Clean,True,Clean
a20cb1_96849a3e,not_flagged,Clean,Clean,Clean,True,Clean
407eec_7e78e085,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
899021_12403d91,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
461f52_12d4367d,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
ab63d7_6f6e14e2,not_flagged,Clean,Clean,Clean,True,Clean
a86a28_aad774a2,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
ade605_56abf129,not_flagged,Clean,Clean,Clean,True,Clean
71c355_62026539,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
706075_776a6953,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
3c6745_e9c42c1f,not_flagged,Clean,Clean,Clean,True,Clean
7395af_85b6e238,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
aaaddc_98afc9bf,not_flagged,Clean,Clean,Clean,True,Clean
75869f_7b3d074f,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
896333_1b7ee656,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
3c656b_845dfa02,not_flagged,Clean,Clean,Clean,True,Clean
71c521_ea30e365,not_flagged,Clean,Clean,Spoofed,False,Clean
78924e_0a6f71d8,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
ab80a2_7cf7a080,not_flagged,Clean,Clean,Clean,True,Clean
a9541c_cfe41d50,not_flagged,Clean,Clean,Clean,True,Clean
781017_5c49201e,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
ac8d5c_91e9cbc5,not_flagged,Clean,Clean,Clean,True,Clean
39ceb9_e3379084,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a32ac6_480605c9,not_flagged,Clean,Clean,Clean,True,Clean
348208_036dab9c,not_flagged,Clean,Clean,Clean,True,Clean
89642e_1e47c220,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
aafbf3_42a5c139,not_flagged,Spoofed,Clean,Clean,False,Clean
40768b_b16cb931,not_flagged,Clean,Clean,Clean,True,Clean
8965c2_194b5ade,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
c03bfb_0ad0203c,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
8990f2_93e7d9be,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
801553_32eddd33,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
78157c_79e9896c,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a33090_f560dfb5,not_flagged,Clean,Clean,Clean,True,Clean
06a1bc_bbe8def4,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
8880ed_e28ac829,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a9e4f1_52adcd8d,not_flagged,Clean,Clean,Clean,True,Clean
a7ec78_d6830cde,not_flagged,Clean,Clean,Clean,True,Clean
4cabdc_1b19feeb,flagged,Spoofed,Clean,Spoofed,False,Spoofed
45213d_1ad1b152,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
adec71_169be9f8,not_flagged,Clean,Clean,Clean,True,Clean
748027_e1dcadad,not_flagged,Clean,Clean,Clean,True,Clean
e03613_a3fa42c8,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
a87afb_74e6a2c1,not_flagged,Clean,Clean,Clean,True,Clean
4caf82_e1cc3536,flagged,Spoofed,Spoofed,Spoofed,True,Spoofed
